# CONVERGE Release Build 2.4.24/  Jan 17, 2019       Run Date:Tue Jun 11 10:47:42 2019
# column        1                2                3                4                5                6                7                8                9               10               11               12               13               14               15               16               17
#           Crank         Pressure         Max_Pres         Min_Pres        Mean_Temp         Max_Temp         Min_Temp           Volume             Mass          Density    Integrated_HR          HR_Rate              C_p              C_v            Gamma         Kin_Visc         Dyn_Visc
#           (DEG)            (MPa)            (MPa)            (MPa)              (K)              (K)              (K)            (m^3)             (kg)         (kg/m^3)              (J)         (J/time)         (J/kg-K)         (J/kg-K)           (none)          (m^2/s)        (N*s/m^2)
#
    1.7636089e+03    9.9875736e-02    1.0022017e-01    9.4309629e-02    5.2863571e+02    8.7680835e+02    3.7026150e+02    9.2841106e-05    6.0741846e-05    6.5425594e-01    1.1835114e+03    0.0000000e+00    1.0839426e+03    7.9526841e+02    1.3629896e+00    4.2982307e-05    2.7718179e-05
    1.7637052e+03    9.9815641e-02    1.0041278e-01    9.4253998e-02    5.2839317e+02    8.7580659e+02    3.7022059e+02    9.2574469e-05    6.0558718e-05    6.5416220e-01    1.1835114e+03    0.0000000e+00    1.0838833e+03    7.9520892e+02    1.3630170e+00    4.2974095e-05    2.7709775e-05
    1.7638014e+03    9.9757476e-02    1.0020206e-01    9.4260858e-02    5.2815432e+02    8.7467681e+02    3.7018253e+02    9.2308858e-05    6.0377050e-05    6.5407645e-01    1.1835114e+03    0.0000000e+00    1.0838253e+03    7.9515073e+02    1.3630438e+00    4.2965772e-05    2.7701464e-05
    1.7639169e+03    9.9690497e-02    9.9935884e-02    9.4242121e-02    5.2787235e+02    8.7335532e+02    3.7013931e+02    9.1990303e-05    6.0160386e-05    6.5398617e-01    1.1835114e+03    0.0000000e+00    1.0837569e+03    7.9508204e+02    1.3630755e+00    4.2955200e-05    2.7691653e-05
    1.7640131e+03    9.9637303e-02    9.9882206e-02    9.4239628e-02    5.2764269e+02    8.7219380e+02    3.7010569e+02    9.1725438e-05    5.9981234e-05    6.5392148e-01    1.1835114e+03    0.0000000e+00    1.0837011e+03    7.9502607e+02    1.3631014e+00    4.2946003e-05    2.7683664e-05
    1.7641094e+03    9.9586198e-02    9.9857641e-02    9.4251186e-02    5.2741691e+02    8.7093701e+02    3.7007273e+02    9.1461819e-05    5.9803743e-05    6.5386566e-01    1.1835114e+03    0.0000000e+00    1.0836462e+03    7.9497098e+02    1.3631268e+00    4.2936429e-05    2.7675812e-05
    1.7642056e+03    9.9537271e-02    9.9806960e-02    9.4265603e-02    5.2719547e+02    8.6964976e+02    3.7003829e+02    9.1198442e-05    5.9627246e-05    6.5381869e-01    1.1835114e+03    0.0000000e+00    1.0835924e+03    7.9491698e+02    1.3631517e+00    4.2926520e-05    2.7668111e-05
    1.7643018e+03    9.9490613e-02    9.9762944e-02    9.4262339e-02    5.2697813e+02    8.6832382e+02    3.7000313e+02    9.0935577e-05    5.9451997e-05    6.5378149e-01    1.1835114e+03    0.0000000e+00    1.0835397e+03    7.9486399e+02    1.3631762e+00    4.2916185e-05    2.7660553e-05
    1.7644173e+03    9.9438028e-02    9.9951132e-02    9.4255301e-02    5.2672391e+02    8.6667272e+02    3.6996468e+02    9.0621009e-05    5.9243577e-05    6.5375102e-01    1.1835114e+03    0.0000000e+00    1.0834779e+03    7.9480201e+02    1.3632048e+00    4.2903206e-05    2.7651711e-05
    1.7645136e+03    9.9396366e-02    9.9747079e-02    9.4313918e-02    5.2651650e+02    8.6514815e+02    3.6993781e+02    9.0360387e-05    5.9071684e-05    6.5373430e-01    1.1835114e+03    0.0000000e+00    1.0834275e+03    7.9475138e+02    1.3632282e+00    4.2892061e-05    2.7644501e-05
    1.7646098e+03    9.9356974e-02    9.9746749e-02    9.4318297e-02    5.2631294e+02    8.6366062e+02    3.6991546e+02    9.0099254e-05    5.8900378e-05    6.5372770e-01    1.1835114e+03    0.0000000e+00    1.0833781e+03    7.9470173e+02    1.3632512e+00    4.2880476e-05    2.7637427e-05
    1.7647060e+03    9.9319589e-02    9.9610158e-02    9.4308887e-02    5.2611329e+02    8.6306217e+02    3.6989539e+02    8.9838899e-05    5.8730333e-05    6.5372944e-01    1.1835114e+03    0.0000000e+00    1.0833296e+03    7.9465302e+02    1.3632737e+00    4.2868548e-05    2.7630490e-05
    1.7648023e+03    9.9284362e-02    9.9578097e-02    9.4323181e-02    5.2591789e+02    8.6175522e+02    3.6987711e+02    8.9576938e-05    5.8560037e-05    6.5374010e-01    1.1835114e+03    0.0000000e+00    1.0832822e+03    7.9460540e+02    1.3632958e+00    4.2856279e-05    2.7623700e-05
    1.7649178e+03    9.9244776e-02    9.9539189e-02    9.4311956e-02    5.2568844e+02    8.6015394e+02    3.6985882e+02    8.9266044e-05    5.8358958e-05    6.5376435e-01    1.1835114e+03    0.0000000e+00    1.0832265e+03    7.9454944e+02    1.3633217e+00    4.2841069e-05    2.7615731e-05
    1.7650141e+03    9.9214044e-02    9.9499496e-02    9.4346739e-02    5.2550151e+02    8.5814826e+02    3.6984741e+02    8.9007254e-05    5.8192419e-05    6.5379412e-01    1.1835114e+03    0.0000000e+00    1.0831811e+03    7.9450385e+02    1.3633428e+00    4.2828007e-05    2.7609239e-05
    1.7651103e+03    9.9185283e-02    9.9477868e-02    9.4344130e-02    5.2531842e+02    8.5729013e+02    3.6983929e+02    8.8749422e-05    5.8027221e-05    6.5383210e-01    1.1835114e+03    0.0000000e+00    1.0831367e+03    7.9445920e+02    1.3633635e+00    4.2814620e-05    2.7602884e-05
    1.7652066e+03    9.9158312e-02    9.9454245e-02    9.4393606e-02    5.2513885e+02    8.5563321e+02    3.6983545e+02    8.8491834e-05    5.7862821e-05    6.5387752e-01    1.1835114e+03    0.0000000e+00    1.0830932e+03    7.9441545e+02    1.3633838e+00    4.2800942e-05    2.7596650e-05
    1.7653028e+03    9.9133149e-02    9.9698608e-02    9.4351084e-02    5.2496285e+02    8.5460354e+02    3.6983679e+02    8.8235211e-05    5.7699692e-05    6.5393046e-01    1.1835114e+03    0.0000000e+00    1.0830505e+03    7.9437256e+02    1.3634037e+00    4.2786967e-05    2.7590543e-05
    1.7654185e+03    9.9105514e-02    9.9392178e-02    9.4394289e-02    5.2475456e+02    8.5293014e+02    3.6984566e+02    8.7924802e-05    5.7503461e-05    6.5400728e-01    1.1835114e+03    0.0000000e+00    1.0830002e+03    7.9432198e+02    1.3634272e+00    4.2769483e-05    2.7583318e-05
    1.7655146e+03    9.9084720e-02    9.9670002e-02    9.4382622e-02    5.2458706e+02    8.5178008e+02    3.6985655e+02    8.7669540e-05    5.7342761e-05    6.5407849e-01    1.1835114e+03    0.0000000e+00    1.0829596e+03    7.9428121e+02    1.3634461e+00    4.2754796e-05    2.7577511e-05
    1.7656110e+03    9.9065720e-02    9.9337834e-02    9.4418489e-02    5.2442302e+02    8.5016042e+02    3.6986870e+02    8.7414654e-05    5.7182967e-05    6.5415768e-01    1.1835114e+03    0.0000000e+00    1.0829196e+03    7.9424091e+02    1.3634649e+00    4.2739566e-05    2.7571869e-05
    1.7657072e+03    9.9048629e-02    9.9311382e-02    9.4441440e-02    5.2426202e+02    8.4945635e+02    3.6988236e+02    8.7160610e-05    5.7024389e-05    6.5424495e-01    1.1835114e+03    0.0000000e+00    1.0828807e+03    7.9420180e+02    1.3634830e+00    4.2724200e-05    2.7566282e-05
    1.7658036e+03    9.9033339e-02    9.9289849e-02    9.4411054e-02    5.2410407e+02    8.4781291e+02    3.6990032e+02    8.6906518e-05    5.6866477e-05    6.5434076e-01    1.1835114e+03    0.0000000e+00    1.0828425e+03    7.9416342e+02    1.3635009e+00    4.2708449e-05    2.7560803e-05
    1.7659190e+03    9.9017445e-02    9.9271716e-02    9.4423047e-02    5.2391968e+02    8.4643702e+02    3.6992806e+02    8.6603093e-05    5.6678741e-05    6.5446555e-01    1.1835114e+03    0.0000000e+00    1.0827980e+03    7.9411864e+02    1.3635217e+00    4.2689202e-05    2.7554409e-05
    1.7660154e+03    9.9006403e-02    9.9260355e-02    9.4452336e-02    5.2376977e+02    8.4522667e+02    3.6995301e+02    8.6350375e-05    5.6523188e-05    6.5457953e-01    1.1835114e+03    0.0000000e+00    1.0827618e+03    7.9408223e+02    1.3635387e+00    4.2672722e-05    2.7549215e-05
    1.7661116e+03    9.8997116e-02    9.9237093e-02    9.4438697e-02    5.2362350e+02    8.4406363e+02    3.6997662e+02    8.6098693e-05    5.6368865e-05    6.5470058e-01    1.1835114e+03    0.0000000e+00    1.0827266e+03    7.9404673e+02    1.3635552e+00    4.2655981e-05    2.7544147e-05
    1.7662080e+03    9.8989744e-02    9.9218149e-02    9.4461553e-02    5.2348206e+02    8.4238164e+02    3.7000096e+02    8.5849707e-05    5.6216822e-05    6.5482834e-01    1.1835114e+03    0.0000000e+00    1.0826923e+03    7.9401225e+02    1.3635713e+00    4.2639069e-05    2.7539249e-05
    1.7663042e+03    9.8984381e-02    9.9212571e-02    9.4453198e-02    5.2334316e+02    8.4117480e+02    3.7002867e+02    8.5599168e-05    5.6064566e-05    6.5496625e-01    1.1835114e+03    0.0000000e+00    1.0826589e+03    7.9397855e+02    1.3635870e+00    4.2621644e-05    2.7534441e-05
    1.7664006e+03    9.8981150e-02    9.9248006e-02    9.4504478e-02    5.2320789e+02    8.3996132e+02    3.7005945e+02    8.5348799e-05    5.5913179e-05    6.5511384e-01    1.1835114e+03    0.0000000e+00    1.0826262e+03    7.9394570e+02    1.3636024e+00    4.2603796e-05    2.7529763e-05
    1.7665161e+03    9.8979450e-02    9.9193638e-02    9.4556801e-02    5.2305033e+02    8.3808385e+02    3.7009878e+02    8.5049614e-05    5.5732965e-05    6.5529945e-01    1.1835114e+03    0.0000000e+00    1.0825883e+03    7.9390746e+02    1.3636202e+00    4.2582111e-05    2.7524318e-05
    1.7666124e+03    9.8980204e-02    9.9184112e-02    9.4578361e-02    5.2292293e+02    8.3677572e+02    3.7013265e+02    8.4800738e-05    5.5583805e-05    6.5546370e-01    1.1835114e+03    0.0000000e+00    1.0825576e+03    7.9387650e+02    1.3636347e+00    4.2563651e-05    2.7519921e-05
    1.7667087e+03    9.8982810e-02    9.9170071e-02    9.4646963e-02    5.2279776e+02    8.3610493e+02    3.7016740e+02    8.4550655e-05    5.5434576e-05    6.5563745e-01    1.1835114e+03    0.0000000e+00    1.0825274e+03    7.9384615e+02    1.3636489e+00    4.2544724e-05    2.7515604e-05
    1.7668050e+03    9.8987257e-02    9.9171804e-02    9.4712069e-02    5.2267741e+02    8.3584583e+02    3.7020240e+02    8.4301761e-05    5.5286568e-05    6.5581747e-01    1.1835114e+03    0.0000000e+00    1.0824986e+03    7.9381706e+02    1.3636626e+00    4.2525679e-05    2.7511458e-05
    1.7669014e+03    9.8993481e-02    9.9182351e-02    9.4770696e-02    5.2256065e+02    8.3559115e+02    3.7023861e+02    8.4054721e-05    5.5140305e-05    6.5600485e-01    1.1835114e+03    0.0000000e+00    1.0824705e+03    7.9378868e+02    1.3636759e+00    4.2506375e-05    2.7507440e-05
    1.7670170e+03    9.9002805e-02    9.9183257e-02    9.4858583e-02    5.2242435e+02    8.3527829e+02    3.7028504e+02    8.3759791e-05    5.4966299e-05    6.5623730e-01    1.1835114e+03    0.0000000e+00    1.0824376e+03    7.9375549e+02    1.3636914e+00    4.2482931e-05    2.7502754e-05
    1.7671133e+03    9.9012493e-02    9.9188530e-02    9.4917620e-02    5.2231242e+02    8.3498779e+02    3.7032654e+02    8.3510980e-05    5.4820091e-05    6.5644172e-01    1.1835114e+03    0.0000000e+00    1.0824108e+03    7.9372847e+02    1.3637041e+00    4.2462816e-05    2.7498906e-05
    1.7672096e+03    9.9023759e-02    9.9202677e-02    9.4928317e-02    5.2220526e+02    8.3465757e+02    3.7036887e+02    8.3265302e-05    5.4676220e-05    6.5665072e-01    1.1835114e+03    0.0000000e+00    1.0823849e+03    7.9370234e+02    1.3637164e+00    4.2442674e-05    2.7495227e-05
    1.7673060e+03    9.9036601e-02    9.9593049e-02    9.4990635e-02    5.2210121e+02    8.3429018e+02    3.7041165e+02    8.3020039e-05    5.4533067e-05    6.5686632e-01    1.1835114e+03    0.0000000e+00    1.0823599e+03    7.9367713e+02    1.3637282e+00    4.2422295e-05    2.7491659e-05
    1.7674024e+03    9.9050561e-02    9.9500235e-02    9.5018735e-02    5.2200010e+02    8.3389077e+02    3.7045457e+02    8.2778456e-05    5.4392541e-05    6.5708572e-01    1.1835114e+03    0.0000000e+00    1.0823353e+03    7.9365233e+02    1.3637399e+00    4.2401829e-05    2.7488198e-05
    1.7675181e+03    9.9069434e-02    9.9245334e-02    9.5145712e-02    5.2188164e+02    8.3336686e+02    3.7050713e+02    8.2486464e-05    5.4223268e-05    6.5735959e-01    1.1835114e+03    0.0000000e+00    1.0823068e+03    7.9362347e+02    1.3637535e+00    4.2376768e-05    2.7484144e-05
    1.7676144e+03    9.9086630e-02    9.9263306e-02    9.5199834e-02    5.2178570e+02    8.3289692e+02    3.7055171e+02    8.2244046e-05    5.4083203e-05    6.5759415e-01    1.1835114e+03    0.0000000e+00    1.0822836e+03    7.9360007e+02    1.3637645e+00    4.2355645e-05    2.7480867e-05
    1.7677108e+03    9.9105055e-02    9.9292922e-02    9.5183104e-02    5.2169193e+02    8.3240435e+02    3.7059724e+02    8.2001861e-05    5.3943627e-05    6.5783418e-01    1.1835114e+03    0.0000000e+00    1.0822607e+03    7.9357687e+02    1.3637755e+00    4.2334092e-05    2.7477718e-05
    1.7678072e+03    9.9124496e-02    9.9308022e-02    9.5246640e-02    5.2159973e+02    8.3189099e+02    3.7064301e+02    8.1761897e-05    5.3805795e-05    6.5807909e-01    1.1835114e+03    0.0000000e+00    1.0822384e+03    7.9355437e+02    1.3637861e+00    4.2312560e-05    2.7474570e-05
    1.7679036e+03    9.9145033e-02    9.9331523e-02    9.5278804e-02    5.2150980e+02    8.3135271e+02    3.7068908e+02    8.1520887e-05    5.3667521e-05    6.5832847e-01    1.1835114e+03    0.0000000e+00    1.0822168e+03    7.9353250e+02    1.3637964e+00    4.2290894e-05    2.7471500e-05
    1.7680193e+03    9.9171062e-02    9.9401279e-02    9.5331740e-02    5.2140466e+02    8.3067410e+02    3.7074491e+02    8.1232905e-05    5.3502716e-05    6.5863354e-01    1.1835114e+03    0.0000000e+00    1.0821915e+03    7.9350692e+02    1.3638085e+00    4.2264693e-05    2.7467915e-05
    1.7681158e+03    9.9193813e-02    9.9376079e-02    9.5317479e-02    5.2132076e+02    8.3008420e+02    3.7079458e+02    8.0995920e-05    5.3367418e-05    6.5889020e-01    1.1835114e+03    0.0000000e+00    1.0821712e+03    7.9348637e+02    1.3638182e+00    4.2242925e-05    2.7465060e-05
    1.7682121e+03    9.9217581e-02    9.9557994e-02    9.5351451e-02    5.2123754e+02    8.2946957e+02    3.7084955e+02    8.0757229e-05    5.3231355e-05    6.5915282e-01    1.1835114e+03    0.0000000e+00    1.0821513e+03    7.9346620e+02    1.3638278e+00    4.2220823e-05    2.7462226e-05
    1.7683087e+03    9.9242293e-02    9.9425564e-02    9.5394584e-02    5.2115582e+02    8.2883557e+02    3.7090811e+02    8.0518663e-05    5.3095609e-05    6.5941990e-01    1.1835114e+03    0.0000000e+00    1.0821317e+03    7.9344642e+02    1.3638372e+00    4.2198521e-05    2.7459444e-05
    1.7684050e+03    9.9267666e-02    9.9449586e-02    9.5427722e-02    5.2107583e+02    8.2832159e+02    3.7096665e+02    8.0281234e-05    5.2960666e-05    6.5968923e-01    1.1835114e+03    0.0000000e+00    1.0821127e+03    7.9342713e+02    1.3638464e+00    4.2176191e-05    2.7456723e-05
    1.7685016e+03    9.9293907e-02    9.9471030e-02    9.5472565e-02    5.2099729e+02    8.2802246e+02    3.7102605e+02    8.0043872e-05    5.2825964e-05    6.5996262e-01    1.1835114e+03    0.0000000e+00    1.0820940e+03    7.9340817e+02    1.3638554e+00    4.2153694e-05    2.7454054e-05
